Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
Trunk,5,mini-lep_pt,3,9,-1,-1,-1,14.8,1.39053688633334e-310,29.93264960025842,12383,370656,0.00017422464973832722
SZ,5,mini-lep_pt,3,-1,1,0,0,20.2,10.2,441.7830750893921,839,370656,0.0040178261382980505
SZ,5,mini-lep_pt,3,-1,1,0,1,19.8,13.8,441.7830750893921,839,370656,0.0040178261382980505
SZ,5,mini-lep_pt,3,-1,1,1,0,25.6,2,481.37142857142857,770,370656,0.0031364619163219967
SZ,5,mini-lep_pt,3,-1,1,1,1,21.6,2,481.37142857142857,770,370656,0.0031364619163219967
SZ,5,mini-lep_pt,3,-1,1,2,0,7,2,481.37142857142857,770,370656,0.0031364619163219967
SZ,5,mini-lep_pt,3,-1,1,2,1,7,2,429.9953596287703,862,370656,0.003259247059084666
SZ,5,mini-lep_pt,3,-1,1,3,0,6,2,58.18775510204082,6370,370656,0.006979657366046319
SZ,5,mini-lep_pt,3,-1,1,3,1,6.2,2,58.18775510204082,6370,370656,0.006979657366046319
SZ,5,mini-lep_pt,3,-1,1,4,0,1.2,1.3796801258271e-310,1.1569658737268587,320369,370656,0
SZ,5,mini-lep_pt,3,-1,1,4,1,1,1.38149478544373e-310,1.1569658737268587,320369,370656,0
Trunk,5,mini-lep_eta,3,9,-1,-1,-1,20,1.39059111074627e-310,16.739195230998508,22143,370656,0.0001762821808416606
SZ,5,mini-lep_eta,3,-1,1,0,0,20.2,10.2,413.67857142857144,896,370656,0.004018752663299849
SZ,5,mini-lep_eta,3,-1,1,0,1,20,10.6,413.67857142857144,896,370656,0.004018752663299849
SZ,5,mini-lep_eta,3,-1,1,1,0,22.6,2,352.6698382492864,1051,370656,0.013319763293002955
SZ,5,mini-lep_eta,3,-1,1,1,1,23,2,352.6698382492864,1051,370656,0.013319763293002955
SZ,5,mini-lep_eta,3,-1,1,2,0,8,2,352.6698382492864,1051,370656,0.013319763293002955
SZ,5,mini-lep_eta,3,-1,1,2,1,7,2,271.1455742501829,1367,370656,0.005456368697329493
SZ,5,mini-lep_eta,3,-1,1,3,0,6.2,5.2,26.67549478229579,13895,370656,0.0061066776123004235
SZ,5,mini-lep_eta,3,-1,1,3,1,6.2,3,26.67549478229579,13895,370656,0.0061066776123004235
SZ,5,mini-lep_eta,3,-1,1,4,0,1,1.379655178834e-310,1.129886875965944,328047,370656,0
SZ,5,mini-lep_eta,3,-1,1,4,1,1,1.38790897329567e-310,1.129886875965944,328047,370656,0
Trunk,5,mini-lep_phi,3,9,-1,-1,-1,19.8,1.3906470667361e-310,17.82599913432405,20793,370656,0.00017781293888781375
SZ,5,mini-lep_phi,3,-1,1,0,0,24.6,10.8,531.025787965616,698,370656,0.005722025221328565
SZ,5,mini-lep_phi,3,-1,1,0,1,21.6,10.6,531.025787965616,698,370656,0.005722025221328565
SZ,5,mini-lep_phi,3,-1,1,1,0,22.4,2,513.3739612188366,722,370656,0.006641589106926854
SZ,5,mini-lep_phi,3,-1,1,1,1,22,2,513.3739612188366,722,370656,0.006641589106926854
SZ,5,mini-lep_phi,3,-1,1,2,0,6.8,2,513.3739612188366,722,370656,0.006641589106926854
SZ,5,mini-lep_phi,3,-1,1,2,1,7.6,2,368.07944389275076,1007,370656,0.004543970680866888
SZ,5,mini-lep_phi,3,-1,1,3,0,7.6,3.2,27.04333868378812,13706,370656,0.004451022645416084
SZ,5,mini-lep_phi,3,-1,1,3,1,7.2,3,27.04333868378812,13706,370656,0.004451022645416084
SZ,5,mini-lep_phi,3,-1,1,4,0,1.2,1.3877179825037e-310,1.1209072352007259,330675,370656,0
SZ,5,mini-lep_phi,3,-1,1,4,1,1.2,1.38479113750136e-310,1.1209072352007259,330675,370656,0
Trunk,5,mini-lep_E,3,9,-1,-1,-1,17.4,1.3905634734985e-310,26.01277282616324,14249,370656,0.00017645618727450295
SZ,5,mini-lep_E,3,-1,1,0,0,21.6,11,379.38178096212897,977,370656,0.004516789651814223
SZ,5,mini-lep_E,3,-1,1,0,1,20.8,11,379.38178096212897,977,370656,0.004516789651814223
SZ,5,mini-lep_E,3,-1,1,1,0,23.2,2,404.646288209607,916,370656,0.003461914512116769
SZ,5,mini-lep_E,3,-1,1,1,1,23.2,2,404.646288209607,916,370656,0.003461914512116769
SZ,5,mini-lep_E,3,-1,1,2,0,7.4,2,416.46741573033705,890,370656,0.0035123616120877376
SZ,5,mini-lep_E,3,-1,1,2,1,8,2.6,404.646288209607,916,370656,0.003461914512116769
SZ,5,mini-lep_E,3,-1,1,3,0,7,2.2,38.08631319358816,9732,370656,0.008083898894363473
SZ,5,mini-lep_E,3,-1,1,3,1,7.2,2.4,38.08631319358816,9732,370656,0.008083898894363473
SZ,5,mini-lep_E,3,-1,1,4,0,1.4,1.3887802934521e-310,1.1481745358123052,322822,370656,0
SZ,5,mini-lep_E,3,-1,1,4,1,1.2,1.3805056059803e-310,1.1481745358123052,322822,370656,0
Trunk,5,mini-lep_z0,3,9,-1,-1,-1,29.2,0.2,13.02695673566935,28453,370656,nan
SZ,5,mini-lep_z0,3,-1,1,0,0,21.8,11,371.7713139418255,997,370656,inf
