filename,branch_name,branch_type,compressor,compressed_bytes,uncompressed_bytes,compression_ratio
DAOD_PHYSLITE.37019878._000001.pool.root.1,EventInfoAux.,xAOD::AuxInfoBase,ZSTD(5),35009,669752,19.130852066611443
DAOD_PHYSLITE.37019878._000001.pool.root.1,Kt4EMPFlowEventShapeAux.,xAOD::AuxInfoBase,ZSTD(5),35391,670060,18.933062077929417
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisElectronsAux.,xAOD::AuxContainerBase,ZSTD(5),35183,669976,19.042605803939402
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisJetsAux.,xAOD::AuxContainerBase,ZSTD(5),35169,669836,19.046205465040234
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisLargeRJetsAux.,xAOD::AuxContainerBase,ZSTD(5),35335,670004,18.961482948917503
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisMuonsAux.,xAOD::AuxContainerBase,ZSTD(5),35116,669864,19.075748946349243
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisPhotonsAux.,xAOD::AuxContainerBase,ZSTD(5),35205,669920,19.029115182502487
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisSiHitElectronsAux.,xAOD::AuxContainerBase,ZSTD(5),35446,670116,18.90526434576539
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTauJetsAux.,xAOD::AuxContainerBase,ZSTD(5),35205,669920,19.029115182502487
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_lhloose_mu10Aux.,xAOD::AuxContainerBase,ZSTD(5),35848,670592,18.70653871903593
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_lhloose_nod0_mu10Aux.,xAOD::AuxContainerBase,ZSTD(5),36069,670732,18.59580248967257
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_lhvloose_L12EM10VHAux.,xAOD::AuxContainerBase,ZSTD(5),36013,670760,18.625496348540803
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_lhvloose_nod0_L12EM10VHAux.,xAOD::AuxContainerBase,ZSTD(5),36235,670900,18.51524768869877
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_loose_mu10Aux.,xAOD::AuxContainerBase,ZSTD(5),35785,670536,18.737906944250383
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e15_lhvloose_L12EM13VHAux.,xAOD::AuxContainerBase,ZSTD(5),36013,670760,18.625496348540803
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e15_lhvloose_nod0_L12EM13VHAux.,xAOD::AuxContainerBase,ZSTD(5),36235,670900,18.51524768869877
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e17_lhvlooseAux.,xAOD::AuxContainerBase,ZSTD(5),35794,670480,18.73163099960887
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e17_lhvloose_nod0Aux.,xAOD::AuxContainerBase,ZSTD(5),35977,670620,18.64024237707424
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g20_loose_g15_looseAux.,xAOD::AuxContainerBase,ZSTD(5),36030,670676,18.61437690813211
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g20_tightAux.,xAOD::AuxContainerBase,ZSTD(5),35731,670396,18.76230724021158
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g22_tightAux.,xAOD::AuxContainerBase,ZSTD(5),35731,670396,18.76230724021158
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g22_tight_L1EM7_EMPTYAux.,xAOD::AuxContainerBase,ZSTD(5),36069,670732,18.59580248967257
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g22_tight_L1EM7_UNPAIRED_ISOAux.,xAOD::AuxContainerBase,ZSTD(5),36160,670928,18.554424778761064
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu10Aux.,xAOD::AuxContainerBase,ZSTD(5),35488,670256,18.8868349864743
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu10_nomucombAux.,xAOD::AuxContainerBase,ZSTD(5),35889,670508,18.68282760734487
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu14Aux.,xAOD::AuxContainerBase,ZSTD(5),35488,670256,18.8868349864743
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu14_nomucombAux.,xAOD::AuxContainerBase,ZSTD(5),35889,670508,18.68282760734487
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu20_L12MU20_OVERLAYAux.,xAOD::AuxContainerBase,ZSTD(5),35954,670704,18.654502976024922
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu6_10invm30_pt2_z10Aux.,xAOD::AuxContainerBase,ZSTD(5),35954,670704,18.654502976024922
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu6_bJpsimumuAux.,xAOD::AuxContainerBase,ZSTD(5),35889,670508,18.68282760734487
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu6_bUpsimumuAux.,xAOD::AuxContainerBase,ZSTD(5),35889,670508,18.68282760734487
