Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
Trunk,5,mini-lep_pt,3,9,-1,-1,-1,82.2,1,1.913932521609815,193662,370656,0.00017422464973832722
SZ,5,mini-lep_pt,3,-1,1,0,0,22,19.6,3.716333958310356,99737,370656,0.0069350946950925176
SZ,5,mini-lep_pt,3,-1,1,0,1,21.6,16,3.716333958310356,99737,370656,0.0069350946950925176
SZ,5,mini-lep_pt,3,-1,1,1,0,25,8,3.473749320537572,106702,370656,0.0060588402979529455
SZ,5,mini-lep_pt,3,-1,1,1,1,32,8,3.473749320537572,106702,370656,0.0060588402979529455
SZ,5,mini-lep_pt,3,-1,1,2,0,9,7.4,3.473749320537572,106702,370656,0.0060588402979529455
SZ,5,mini-lep_pt,3,-1,1,2,1,9.2,8,3.4362953692115146,107865,370656,0.006062001998801112
SZ,5,mini-lep_pt,3,-1,1,3,0,6.4,6,4.019040390349688,92225,370656,0.006979657366046318
SZ,5,mini-lep_pt,3,-1,1,3,1,6.2,6,4.019040390349688,92225,370656,0.006979657366046318
SZ,5,mini-lep_pt,3,-1,1,4,0,1.2,1.38890325169614e-310,1.1201755260795851,330891,370656,0
SZ,5,mini-lep_pt,3,-1,1,4,1,1.2,1.39038952067815e-310,1.1201755260795851,330891,370656,0
Trunk,5,mini-lep_eta,3,9,-1,-1,-1,105,1,1.7624520344068433,210307,370656,0.0001762821808416606
SZ,5,mini-lep_eta,3,-1,1,0,0,24.2,18,2.753738828091916,134601,370656,0.01665989201364863
SZ,5,mini-lep_eta,3,-1,1,0,1,24.8,18.2,2.753738828091916,134601,370656,0.01665989201364863
SZ,5,mini-lep_eta,3,-1,1,1,0,28.8,9,2.5756992460303674,143905,370656,0.01893244012710398
SZ,5,mini-lep_eta,3,-1,1,1,1,28.2,9,2.5756992460303674,143905,370656,0.01893244012710398
SZ,5,mini-lep_eta,3,-1,1,2,0,11.2,9,2.5756992460303674,143905,370656,0.01893244012710398
SZ,5,mini-lep_eta,3,-1,1,2,1,11.2,9,2.537332028121385,146081,370656,0.008740729038890517
SZ,5,mini-lep_eta,3,-1,1,3,0,7.2,7,3.0788450676147123,120388,370656,0.0061066776123004235
SZ,5,mini-lep_eta,3,-1,1,3,1,7.6,7.2,3.0788450676147123,120388,370656,0.0061066776123004235
SZ,5,mini-lep_eta,3,-1,1,4,0,1.2,1.38677959829833e-310,1.0848552964315819,341664,370656,0
SZ,5,mini-lep_eta,3,-1,1,4,1,1.2,1.38986671075153e-310,1.0848552964315819,341664,370656,0
Trunk,5,mini-lep_phi,3,9,-1,-1,-1,93.4,1,1.7860271477514202,207531,370656,0.00017781293888781375
SZ,5,mini-lep_phi,3,-1,1,0,0,25.4,18.8,2.5997629284647163,142573,370656,0.009348982372529345
SZ,5,mini-lep_phi,3,-1,1,0,1,25.2,18.6,2.5997629284647163,142573,370656,0.009348982372529345
SZ,5,mini-lep_phi,3,-1,1,1,0,30.4,9.4,2.400621761658031,154400,370656,0.008144815376107725
SZ,5,mini-lep_phi,3,-1,1,1,1,29.4,9.4,2.400621761658031,154400,370656,0.008144815376107725
SZ,5,mini-lep_phi,3,-1,1,2,0,11.6,9.2,2.400621761658031,154400,370656,0.008144815376107725
SZ,5,mini-lep_phi,3,-1,1,2,1,12.2,10.2,2.3878627798357224,155225,370656,0.007780889569092646
SZ,5,mini-lep_phi,3,-1,1,3,0,8.2,8,2.999635825098934,123567,370656,0.004451022645416084
SZ,5,mini-lep_phi,3,-1,1,3,1,8.6,8,2.999635825098934,123567,370656,0.004451022645416084
SZ,5,mini-lep_phi,3,-1,1,4,0,1,1.38562555242057e-310,1.08395428544691,341948,370656,0
SZ,5,mini-lep_phi,3,-1,1,4,1,1.4,1.38688097685285e-310,1.08395428544691,341948,370656,0
Trunk,5,mini-lep_E,3,9,-1,-1,-1,75,1,1.868970003176668,198321,370656,0.00017645618727450295
SZ,5,mini-lep_E,3,-1,1,0,0,23.4,17,3.4547437295528898,107289,370656,0.008016872267378511
SZ,5,mini-lep_E,3,-1,1,0,1,23.6,16.8,3.4547437295528898,107289,370656,0.008016872267378511
SZ,5,mini-lep_E,3,-1,1,1,0,25.6,8,3.2280640638199665,114823,370656,0.007001186676627681
SZ,5,mini-lep_E,3,-1,1,1,1,25.8,8.2,3.2280640638199665,114823,370656,0.007001186676627681
SZ,5,mini-lep_E,3,-1,1,2,0,9.8,8,3.2280640638199665,114823,370656,0.007001186676627681
SZ,5,mini-lep_E,3,-1,1,2,1,10.2,8.4,3.1822248169166443,116477,370656,0.006957444124764839
SZ,5,mini-lep_E,3,-1,1,3,0,7.2,6.6,3.838051649512291,96574,370656,0.008083898894363475
SZ,5,mini-lep_E,3,-1,1,3,1,7.2,6,3.838051649512291,96574,370656,0.008083898894363475
SZ,5,mini-lep_E,3,-1,1,4,0,1.2,1.38072532548073e-310,1.1116022828489427,333443,370656,0
SZ,5,mini-lep_E,3,-1,1,4,1,1.2,1.38509697169085e-310,1.1116022828489427,333443,370656,0
Trunk,5,mini-lep_z0,3,9,-1,-1,-1,92.2,1,1.6840115763983226,220103,370656,nan
SZ,5,mini-lep_z0,3,-1,1,0,0,21.6,11.8,33.995780977712556,10903,370656,inf
SZ,5,mini-lep_z0,3,-1,1,0,1,22,12.2,33.995780977712556,10903,370656,inf
SZ,5,mini-lep_z0,3,-1,1,1,0,26.4,1,39.13175675675676,9472,370656,inf
