Compressor,Iterations,Data name,Source file,Tree name,Branch name,Precision,Average compression time (ms),Average decompression time (ms),Original data size (bytes),Compressed data size (bytes),Compression ratio,Average relative error,Trunk compression level,SZ error bound mode,SZ algorithm,SZ interpolation algorithm
,,,,,,,,,,,,,-1,-1,-1,-1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,100.0,1.0,535336.0,285167.0,1.88,0.000176,9,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,31.2,23.0,535336.0,136665.0,3.92,0.014123,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,31.6,23.2,535336.0,136665.0,3.92,0.014123,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,35.0,11.0,535336.0,147486.0,3.63,0.012324,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,36.0,11.0,535336.0,147486.0,3.63,0.012324,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,12.8,11.0,535336.0,147486.0,3.63,0.012324,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,14.0,11.0,535336.0,149369.0,3.58,0.012267,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,10.2,8.0,535336.0,120067.0,4.46,0.014047,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,9.2,7.4,535336.0,120067.0,4.46,0.014047,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,1.4,0.0,535336.0,484248.0,1.11,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_E,3.0,1.6,0.0,535336.0,484248.0,1.11,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_eta,3.0,139.0,2.0,535336.0,303419.0,1.76,0.000176,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_eta,3.0,33.6,26.0,535336.0,193242.0,2.77,0.008665,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_eta,3.0,34.2,26.2,535336.0,193242.0,2.77,0.008665,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_eta,3.0,40.2,13.2,535336.0,204936.0,2.61,0.010911,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_eta,3.0,41.0,13.0,535336.0,204936.0,2.61,0.010911,-1,1,1,1
