Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
Trunk,5,normal,3,9,-1,-1,-1,21.6,1.390620578478e-310,1.691703884152118,59112,100000
SZ,5,normal,3,-1,1,0,0,6.4,4.2,2.564760194921775,38990,100000
SZ,5,normal,3,-1,1,0,1,6.4,4,2.564760194921775,38990,100000
SZ,5,normal,3,-1,1,1,0,7.2,2,2.356823002592505,42430,100000
SZ,5,normal,3,-1,1,1,1,7.2,2,2.356823002592505,42430,100000
SZ,5,normal,3,-1,1,2,0,2.6,2,2.356823002592505,42430,100000
SZ,5,normal,3,-1,1,2,1,2.8,2,2.3114973880079517,43262,100000
SZ,5,normal,3,-1,1,3,0,2,1,2.798690212980325,35731,100000
SZ,5,normal,3,-1,1,3,1,2,1,2.798690212980325,35731,100000
SZ,5,normal,3,-1,1,4,0,1.37970828503634e-310,1.37970833594056e-310,1.0805787579827755,92543,100000
SZ,5,normal,3,-1,1,4,1,1.3879168436076e-310,1.38791689451183e-310,1.0805787579827755,92543,100000
Trunk,5,normal,3,9,-1,-1,-1,114,1.4,1.7233832080433742,290127,500000
SZ,5,normal,3,-1,1,0,0,27.4,21.4,3.259834921959552,153382,500000
SZ,5,normal,3,-1,1,0,1,27.4,21,3.259834921959552,153382,500000
SZ,5,normal,3,-1,1,1,0,31,10,3.0820630096961703,162229,500000
SZ,5,normal,3,-1,1,1,1,30.2,10.2,3.0820630096961703,162229,500000
SZ,5,normal,3,-1,1,2,0,11.2,10,3.0820630096961703,162229,500000
SZ,5,normal,3,-1,1,2,1,11.2,10.2,3.0481113901826427,164036,500000
SZ,5,normal,3,-1,1,3,0,9,8.2,3.441866868589523,145270,500000
SZ,5,normal,3,-1,1,3,1,9,8,3.441866868589523,145270,500000
SZ,5,normal,3,-1,1,4,0,1,1.3805177652141e-310,1.081778097022514,462202,500000
SZ,5,normal,3,-1,1,4,1,1,1.37968499612387e-310,1.081778097022514,462202,500000
Trunk,5,normal,3,9,-1,-1,-1,244.4,3.2,1.7267280230690865,579130,1000000
SZ,5,normal,3,-1,1,0,0,56.2,42.4,3.3789034782432403,295954,1000000
SZ,5,normal,3,-1,1,0,1,57,42.6,3.3789034782432403,295954,1000000
SZ,5,normal,3,-1,1,1,0,60.2,21.2,3.219305531410764,310626,1000000
SZ,5,normal,3,-1,1,1,1,59.6,21.2,3.219305531410764,310626,1000000
SZ,5,normal,3,-1,1,2,0,22.4,21.2,3.219305531410764,310626,1000000
SZ,5,normal,3,-1,1,2,1,24.4,22,3.188185858482806,313658,1000000
SZ,5,normal,3,-1,1,3,0,17.4,17.2,3.544565826131957,282122,1000000
SZ,5,normal,3,-1,1,3,1,17.4,17,3.544565826131957,282122,1000000
SZ,5,normal,3,-1,1,4,0,3.4,1.38294235081013e-310,1.0817933104065272,924391,1000000
SZ,5,normal,3,-1,1,4,1,3,1.3902801288225e-310,1.0817933104065272,924391,1000000
Trunk,5,normal,3,9,-1,-1,-1,2440,39,1.7301466108936605,5779857,10000000
SZ,5,normal,3,-1,1,0,0,541.2,775.8,3.5721417240084716,2799441,10000000
SZ,5,normal,3,-1,1,0,1,567.4,440.8,3.5721417240084716,2799441,10000000
SZ,5,normal,3,-1,1,1,0,593.6,212.6,3.4098515384738666,2932679,10000000
SZ,5,normal,3,-1,1,1,1,582.8,213,3.4098515384738666,2932679,10000000
SZ,5,normal,3,-1,1,2,0,205,210.6,3.4098515384738666,2932679,10000000
SZ,5,normal,3,-1,1,2,1,209,213.6,3.3846124686415653,2954548,10000000
SZ,5,normal,3,-1,1,3,0,164,177.2,3.6904127505236697,2709724,10000000
SZ,5,normal,3,-1,1,3,1,171.6,184.6,3.6904127505236697,2709724,10000000
SZ,5,normal,3,-1,1,4,0,32,7.6,1.0820138354945117,9242026,10000000
SZ,5,normal,3,-1,1,4,1,33.8,8.4,1.0820138354945117,9242026,10000000
Trunk,5,normal,3,9,-1,-1,-1,25873.6,414,1.730516645225277,57786211,100000000
SZ,5,normal,3,-1,1,0,0,5782.2,4736,3.6201613737614613,27623078,100000000
SZ,5,normal,3,-1,1,0,1,5747,4702.2,3.6201613737614613,27623078,100000000
SZ,5,normal,3,-1,1,1,0,6177.6,2149.4,3.4562006918968167,28933505,100000000
SZ,5,normal,3,-1,1,1,1,6218.2,2166,3.4562006918968167,28933505,100000000
SZ,5,normal,3,-1,1,2,0,2479,2146.2,3.4562006918968167,28933505,100000000
SZ,5,normal,3,-1,1,2,1,2192.8,2508.2,3.429947052936328,29154969,100000000
SZ,5,normal,3,-1,1,3,0,1739.8,1809,3.7319909511161806,26795349,100000000
SZ,5,normal,3,-1,1,3,1,1758.8,1809,3.7319909511161806,26795349,100000000
SZ,5,normal,3,-1,1,4,0,387,104,1.0820351202198366,92418442,100000000
SZ,5,normal,3,-1,1,4,1,371.2,88.2,1.0820351202198366,92418442,100000000
