Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
Trunk,5,mini-lep_pt,3,9,-1,-1,-1,78.8,1,1.913932521609815,193662,370656
SZ,5,mini-lep_pt,3,-1,1,0,0,22,16.2,3.716333958310356,99737,370656
SZ,5,mini-lep_pt,3,-1,1,0,1,22.4,16,3.716333958310356,99737,370656
SZ,5,mini-lep_pt,3,-1,1,1,0,24.2,7.8,3.473749320537572,106702,370656
SZ,5,mini-lep_pt,3,-1,1,1,1,25.4,8,3.473749320537572,106702,370656
SZ,5,mini-lep_pt,3,-1,1,2,0,9.2,8,3.473749320537572,106702,370656
SZ,5,mini-lep_pt,3,-1,1,2,1,9.2,8,3.4362953692115146,107865,370656
SZ,5,mini-lep_pt,3,-1,1,3,0,7.6,6,4.019040390349688,92225,370656
SZ,5,mini-lep_pt,3,-1,1,3,1,6.2,6,4.019040390349688,92225,370656
SZ,5,mini-lep_pt,3,-1,1,4,0,1.2,1.39057825505317e-310,1.1201755260795851,330891,370656
SZ,5,mini-lep_pt,3,-1,1,4,1,1.2,1.39058811478723e-310,1.1201755260795851,330891,370656
Trunk,5,mini-lep_eta,3,9,-1,-1,-1,96.8,1,1.7624520344068433,210307,370656
SZ,5,mini-lep_eta,3,-1,1,0,0,24.2,18.6,2.753738828091916,134601,370656
SZ,5,mini-lep_eta,3,-1,1,0,1,24.4,18,2.753738828091916,134601,370656
SZ,5,mini-lep_eta,3,-1,1,1,0,28.4,9.2,2.5756992460303674,143905,370656
SZ,5,mini-lep_eta,3,-1,1,1,1,28,9,2.5756992460303674,143905,370656
SZ,5,mini-lep_eta,3,-1,1,2,0,11.2,9,2.5756992460303674,143905,370656
SZ,5,mini-lep_eta,3,-1,1,2,1,11,9,2.537332028121385,146081,370656
SZ,5,mini-lep_eta,3,-1,1,3,0,7.2,7.6,3.0788450676147123,120388,370656
SZ,5,mini-lep_eta,3,-1,1,3,1,7.2,7,3.0788450676147123,120388,370656
SZ,5,mini-lep_eta,3,-1,1,4,0,1,1.39058913381304e-310,1.0848552964315819,341664,370656
SZ,5,mini-lep_eta,3,-1,1,4,1,1,1.3906399886946e-310,1.0848552964315819,341664,370656
Trunk,5,mini-lep_phi,3,9,-1,-1,-1,93.8,1,1.7860271477514202,207531,370656
SZ,5,mini-lep_phi,3,-1,1,0,0,26.2,19,2.5997629284647163,142573,370656
SZ,5,mini-lep_phi,3,-1,1,0,1,25.2,18.6,2.5997629284647163,142573,370656
SZ,5,mini-lep_phi,3,-1,1,1,0,28.6,9,2.400621761658031,154400,370656
SZ,5,mini-lep_phi,3,-1,1,1,1,28.4,9,2.400621761658031,154400,370656
SZ,5,mini-lep_phi,3,-1,1,2,0,11.6,9.2,2.400621761658031,154400,370656
SZ,5,mini-lep_phi,3,-1,1,2,1,13.6,10,2.3878627798357224,155225,370656
SZ,5,mini-lep_phi,3,-1,1,3,0,8,7.4,2.999635825098934,123567,370656
SZ,5,mini-lep_phi,3,-1,1,3,1,7.2,7.4,2.999635825098934,123567,370656
SZ,5,mini-lep_phi,3,-1,1,4,0,1,1.3905826397043e-310,1.08395428544691,341948,370656
SZ,5,mini-lep_phi,3,-1,1,4,1,1.2,1.3906423464328e-310,1.08395428544691,341948,370656
Trunk,5,mini-lep_E,3,9,-1,-1,-1,73.8,1,1.868970003176668,198321,370656
SZ,5,mini-lep_E,3,-1,1,0,0,22.4,16.2,3.4547437295528898,107289,370656
