Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
Trunk,5,normal,3,9,-1,-1,-1,2806.8,39,1.7301466108936605,5779857,10000000
SZ,5,normal,3,-1,1,0,0,571.6,419,3.5721417240084716,2799441,10000000
SZ,5,normal,3,-1,1,0,1,543.8,418,3.5721417240084716,2799441,10000000
SZ,5,normal,3,-1,1,1,0,591.6,212.6,3.4098515384738666,2932679,10000000
SZ,5,normal,3,-1,1,1,1,588.2,218.2,3.4098515384738666,2932679,10000000
SZ,5,normal,3,-1,1,2,0,539.8,214.2,3.4098515384738666,2932679,10000000
SZ,5,normal,3,-1,1,2,1,217.2,227.2,3.3846124686415653,2954548,10000000
SZ,5,normal,3,-1,1,3,0,176.2,183.6,3.6904127505236697,2709724,10000000
SZ,5,normal,3,-1,1,3,1,171.8,181,3.6904127505236697,2709724,10000000
SZ,5,normal,3,-1,1,4,0,32,8,1.0820138354945117,9242026,10000000
SZ,5,normal,3,-1,1,4,1,31.8,6.8,1.0820138354945117,9242026,10000000
