system,timestamp,name,algo,errorBoundMode,interpAlgo,noise,relativeError,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744220704922059087,paramSweep_sz3_NoisySine,0,1,0,0.5,0.0005,10000000,-2.7229545,2.82578,564.5,471.19999999999999,3.6089930331998485,0.0013877282679805605,0,0.0027743633836507797
Morgana,1744220716519510205,paramSweep_sz3_NoisySine,0,1,1,0.5,0.0005,10000000,-2.7229545,2.82578,570.39999999999998,466.19999999999999,3.6089930331998485,0.0013877282679805605,0,0.0027743633836507797
Morgana,1744220725983586452,paramSweep_sz3_NoisySine,1,1,0,0.5,0.0005,10000000,-2.7229545,2.82578,616,226.90000000000001,3.4436613558521239,0.0012137113226331044,0,0.002774363849312067
Morgana,1744220735348449052,paramSweep_sz3_NoisySine,1,1,1,0.5,0.0005,10000000,-2.7229545,2.82578,608.5,225.5,3.4436613558521239,0.0012137113226331044,0,0.002774363849312067
Morgana,1744220740452439468,paramSweep_sz3_NoisySine,2,1,0,0.5,0.0005,10000000,-2.7229545,2.82578,222,225.19999999999999,3.4436613558521239,0.0012137113226331044,0,0.002774363849312067
Morgana,1744220745644865238,paramSweep_sz3_NoisySine,2,1,1,0.5,0.0005,10000000,-2.7229545,2.82578,226.30000000000001,228.90000000000001,3.4169016356024748,0.0012134227007539527,0,0.002774357795715332
Morgana,1744220749939830157,paramSweep_sz3_NoisySine,3,1,0,0.5,0.0005,10000000,-2.7229545,2.82578,187.30000000000001,186.5,3.6576190582435602,0.0013871435724362848,0,0.002774357795715332
Morgana,1744220754180642014,paramSweep_sz3_NoisySine,3,1,1,0.5,0.0005,10000000,-2.7229545,2.82578,181.69999999999999,186.69999999999999,3.6576190582435602,0.0013871435724362848,0,0.002774357795715332
Morgana,1744220754838046988,paramSweep_sz3_NoisySine,4,1,0,0.5,0.0005,10000000,-2.7229545,2.82578,33.899999999999999,8.5,1.0893826479427935,0,0,0
Morgana,1744220755487149887,paramSweep_sz3_NoisySine,4,1,1,0.5,0.0005,10000000,-2.7229545,2.82578,33.600000000000001,8.5,1.0893826479427935,0,0,0
