system,timestamp,name,algo,errorBoundMode,interpAlgo,relativeError,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744220546733576302,paramSweep_sz3_UniformRandom,0,1,0,0.0005,10000000,5.848706e-07,0.9999991,574.20000000000005,506.5,3.0296319209290306,0.00024988944562458893,0,0.00049999356269836426
Morgana,1744220558689243847,paramSweep_sz3_UniformRandom,0,1,1,0.0005,10000000,5.848706e-07,0.9999991,570.89999999999998,498.19999999999999,3.0296319209290306,0.00024988944562458893,0,0.00049999356269836426
Morgana,1744220568754231301,paramSweep_sz3_UniformRandom,1,1,0,0.0005,10000000,5.848706e-07,0.9999991,635.70000000000005,263.10000000000002,2.8987725437540726,0.00021869789788377857,0,0.00049999356269836426
Morgana,1744220578740778985,paramSweep_sz3_UniformRandom,1,1,1,0.0005,10000000,5.848706e-07,0.9999991,630.29999999999995,260,2.8987725437540726,0.00021869789788377857,0,0.00049999356269836426
Morgana,1744220584564019057,paramSweep_sz3_UniformRandom,2,1,0,0.0005,10000000,5.848706e-07,0.9999991,251.19999999999999,258.30000000000001,2.8987725437540726,0.00021869789788377857,0,0.00049999356269836426
Morgana,1744220590470045097,paramSweep_sz3_UniformRandom,2,1,1,0.0005,10000000,5.848706e-07,0.9999991,257.10000000000002,262.10000000000002,2.8786786634640409,0.00021876220665444524,0,0.00049999356269836426
Morgana,1744220595053196894,paramSweep_sz3_UniformRandom,3,1,0,0.0005,10000000,5.848706e-07,0.9999991,181.5,218.5,3.1990551270776661,0.00024998631183616816,0,0.00049999356269836426
Morgana,1744220599603790638,paramSweep_sz3_UniformRandom,3,1,1,0.0005,10000000,5.848706e-07,0.9999991,181.69999999999999,214.90000000000001,3.1990551270776661,0.00024998631183616816,0,0.00049999356269836426
Morgana,1744220600288318932,paramSweep_sz3_UniformRandom,4,1,0,0.0005,10000000,5.848706e-07,0.9999991,36,9,1.1176151344759235,0,0,0
Morgana,1744220600940386783,paramSweep_sz3_UniformRandom,4,1,1,0.0005,10000000,5.848706e-07,0.9999991,33.5,8.5,1.1176151344759235,0,0,0
